stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
HTJSA4-4-3,CU,H,VS2,IGI,626406655,,1.51000,2627.00000,-63.00000,INDIA,6.62x6.48x4.39,67.70,57.00,,14.00,,51.00,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,6.62,6.48,4.39,,,,08/04/2024 12:00:00 AM,,,True,None,7100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626406655,,INDIA,0.00000,False,,1.022,,A
HTJSA4-4-6,RD,J,VS2,IGI,626406670,,1.51000,1537.00000,-71.00000,INDIA,6.95-7.03x4.67,66.70,55.00,,17.50,,42.50,Slightly Thick,,0.00,Faceted,POINTED,,EX,Very Good,NONE,,,,,,,GD,7.03,6.95,4.67,,,,08/04/2024 12:00:00 AM,,,True,MIX,5300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626406670,,INDIA,0.00000,False,,1.012,,A
HTJSA4-4-11B,PS,J,VS1,IGI,626406659,,0.90000,1080.00000,-64.00000,INDIA,8.57x5.42x3.36,62.00,60.00,32.30,13.00,40.70,44.50,MED to THK,Medium,0.00,Faceted,POINTED,,EX,EX,VERY SLIGHT,,,,,,,EX,8.57,5.42,3.36,,,,08/04/2024 12:00:00 AM,,,True,None,3000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626406659,,INDIA,0.00000,False,,1.581,,A
HTJSA4-4-18,OV,K,VS1,IGI,626407942,,1.01000,1036.00000,-63.00000,INDIA,8.37x5.49x3.37,61.40,62.00,,14.50,,42.00,MED to VTK,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,VERY GOOD,8.37,5.49,3.37,,,,12/04/2024 12:00:00 AM,,,True,None,2800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626407942,,INDIA,0.00000,False,,1.525,,A
HTJSA4-4-20A,PSB,D,SI2,GIA,6482970367,,0.50000,1000.00000,-50.00000,INDIA,6.85x4.32x2.83,65.60,61.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,6.85,4.32,2.83,,,"Crystal, Feather",03/04/2024 12:00:00 AM,0.00,,True,None,2000.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6482970367,Karan Exports,INDIA,0.00000,False,,1.586,,M
HTJSA4-3-8,MQ,D,VVS2,GIA,2496164593,,0.70000,2200.00000,-45.00000,INDIA,9.78x4.54x2.60,57.20,61.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,9.78,4.54,2.60,,,"Pinpoint, Needle, Surface Graining",23/04/2024 12:00:00 AM,0.00,,True,None,4000.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2496164593,R2NET_SEGOMA,INDIA,0.00000,False,,2.154,,M
HTJSA04-1-8B,EM,G,VVS1,GIA,6485970381,,0.34000,850.00000,-50.00000,INDIA,5.37x3.17x2.01,63.50,64.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,FAINT,,,,,,,,5.37,3.17,2.01,,,Feather,03/04/2024 12:00:00 AM,0.00,,True,None,1700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6485970381,,INDIA,0.00000,False,,1.694,,A
HTJSA04-1-16B,OVB,G,VS1,GIA,2497014418,,0.44000,846.00000,-53.00000,INDIA,6.07x4.45x2.64,59.30,63.00,0.00,0.00,0.00,0.00,Thin to Thick,Thin,0.00,Faceted,None,None,EX,Very Good,Medium,Blue,,,,,,,6.07,4.45,2.64,,,Feather,08/04/2024 12:00:00 AM,0.00,,True,None,1800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2497014418,,INDIA,0.00000,False,,1.364,,A
HTJSA10B,EM,J,SI1,GIA,7493145739,,0.70000,799.00000,-53.00000,INDIA,6.31x4.34x2.77,63.80,66.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,NONE,,,,,,,,6.31,4.34,2.77,,,Feather,22/04/2024 12:00:00 AM,0.00,,True,None,1700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7493145739,,INDIA,0.00000,False,,1.454,,A
JSA03A,CMB,WX,VS1,GIA,7502927326,,5.01000,4700.00000,-50.52632,INDIA,10.79x8.57x5.97,69.70,61.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,,10.79,8.57,5.97,,,Feather,19/12/2024 12:00:00 AM,0.00,,True,,9500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7502927326,,INDIA,0.00000,False,,1.259,,A
JSA03B,EM,I,IF,IGI,626409676,,1.20000,1833.00000,-61.00000,INDIA,7.15x5.11x3.34,65.40,62.00,,11.50,,50.00,Slightly Thick,,0.00,,LONG,,EX,EX,NONE,,,,,,,VERY GOOD,7.15,5.11,3.34,,,,17/04/2024 12:00:00 AM,,,True,None,4700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626409676,,INDIA,0.00000,False,,1.399,,A
JSA56-9B,RD,QR,VS1,GIA,3505163632,,2.06000,2200.00000,-59.25926,INDIA,8.07-8.14x5.05,62.30,59.00,34.00,14.00,41.60,44.00,Slightly Thick,,4.50,Faceted,None,None,EX,EX,Strong,Blue,,,,,,VERY GOOD,8.14,8.07,5.05,,,"Crystal, Knot, Feather",13/08/2024 12:00:00 AM,50.00,,True,MIX,5400.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3505163632,,INDIA,1701.00000,False,,1.009,,A
JSA56-6A,RD,K,VS1,IGI,642437772,,2.03000,2310.00000,-67.00000,INDIA,7.99-8.05x5.06,63.20,58.00,36.60,15.50,40.90,43.00,MED,Medium,0.00,Faceted,POINTED,,EX,EX,NONE,,,,,,,EX,8.05,7.99,5.06,,,,30/07/2024 12:00:00 AM,,,True,None,7000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=642437772,,INDIA,0.00000,False,,1.008,,A
JSA20B,OVB,H,SI1,GIA,1493468299,,0.53000,882.00000,-51.00000,INDIA,6.52x4.47x2.79,62.40,60.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,GD,GD,NONE,,,,,,,,6.52,4.47,2.79,,,"Twinning Wisp, Feather",27/05/2024 12:00:00 AM,0.00,,True,MIX,1800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1493468299,,INDIA,0.00000,False,,1.459,,A
JSA41B,OVB,D,VS2,GIA,1495758042,,0.32000,918.00000,-46.00000,INDIA,5.29x4.05x2.28,56.20,63.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,GD,GD,NONE,,,,,,,,5.29,4.05,2.28,,,Feather,01/07/2024 12:00:00 AM,0.00,,True,None,1700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1495758042,,INDIA,0.00000,False,,1.306,,A
JSA57-7C,RD,J,VVS1,GIA,1498897275,,0.31000,624.00000,-48.00000,INDIA,4.38-4.41x2.64,60.00,57.00,34.00,14.50,40.20,42.00,MED to THK,Medium,3.50,Faceted,None,None,EX,EX,NONE,,,,,,,VERY GOOD,4.41,4.38,2.64,,,Feather,15/07/2024 12:00:00 AM,50.00,,True,None,1200.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1498897275,,INDIA,0.00000,False,,1.007,,A
JSA57-1B,OVB,L,VS1,GIA,1503105977,,0.50000,648.00000,-46.00000,INDIA,6.09x4.57x2.71,59.40,61.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,GD,GD,NONE,,,,,,,,6.09,4.57,2.71,,,"Crystal, Feather, Needle, Pinpoint",07/08/2024 12:00:00 AM,0.00,,True,None,1200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1503105977,,INDIA,0.00000,False,,1.333,,A
JSA56-14C,RD,M,VS1,GIA,1503113180,,0.71000,700.00000,-50.00000,INDIA,5.60-5.64x3.56,63.40,58.00,36.00,15.50,41.20,43.50,MED to VTK,Medium,4.50,Faceted,None,None,EX,Very Good,NONE,,,,,,,VERY GOOD,5.64,5.60,3.56,,,"Cavity, Feather",07/08/2024 12:00:00 AM,50.00,,True,None,1400.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1503113180,,INDIA,0.00000,False,,1.007,,A
JSA56-1B,OVB,K,SI2,GIA,1505335744,,0.64000,616.00000,-44.00000,INDIA,6.77x4.88x3.05,62.50,61.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Faceted,None,None,Very Good,Very Good,FAINT,,,,,,,,6.77,4.88,3.05,,,Feather,06/09/2024 12:00:00 AM,0.00,,True,None,1100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1505335744,,INDIA,0.00000,False,,1.387,,A
JSA56-5C,OVB,K,SI1,GIA,1509105913,,0.48000,570.00000,-43.00000,INDIA,6.57x4.34x2.59,59.80,56.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,Very Good,GD,NONE,,,,,,,,6.57,4.34,2.59,,,Feather,07/08/2024 12:00:00 AM,0.00,,True,None,1000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1509105913,,INDIA,0.00000,False,,1.514,,A
JSA56-4C,OVB,J,VS1,GIA,1509335784,,0.43000,624.00000,-52.00000,INDIA,6.03x4.27x2.66,62.20,61.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Faceted,None,None,GD,Very Good,Medium,Blue,,,,,,,6.03,4.27,2.66,,,Crystal,06/09/2024 12:00:00 AM,0.00,,True,None,1300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1509335784,,INDIA,0.00000,False,,1.412,,A
JSA57-7B,EM,K,VS2,GIA,2496861894,,0.71000,900.00000,-50.00000,INDIA,6.14x4.44x2.79,62.90,62.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,NONE,,,,,,,,6.14,4.44,2.79,,,Feather,09/07/2024 12:00:00 AM,0.00,,True,None,1800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2496861894,,INDIA,0.00000,False,,1.383,,A
JSA16B,EM,I,IF,GIA,2498430169,,0.40000,950.00000,-50.00000,INDIA,5.21x3.69x2.27,61.40,67.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Polished,None,None,GD,GD,FAINT,,,,,,,,5.21,3.69,2.27,,The diamond has been graded insofar as surface conditions permit observation.,"Surface Graining, Minor Details Of Polish",24/05/2024 12:00:00 AM,0.00,,True,None,1900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2498430169,,INDIA,0.00000,False,,1.412,,A
JSA18D,HTB,F,I1,GIA,3495713473,,0.52000,868.00000,-38.00000,INDIA,5.13x5.72x3.15,55.10,58.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,,5.13,5.72,3.15,,,"Cloud, Crystal",22/06/2024 12:00:00 AM,0.00,,True,None,1400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3495713473,,INDIA,0.00000,False,,0.897,,A
JSA56-5B,EM,L,IF,GIA,3495861915,,0.54000,855.00000,-43.00000,INDIA,5.68x4.15x2.41,58.10,68.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,Very Good,Very Good,NONE,,,,,,,,5.68,4.15,2.41,,,Minor Details Of Polish,09/07/2024 12:00:00 AM,0.00,,True,None,1500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3495861915,,INDIA,0.00000,False,,1.369,,A
JSA56-19B,RD,K,VVS2,GIA,6492907048,,0.70000,950.00000,-50.00000,INDIA,5.73-5.77x3.46,60.10,61.00,32.00,12.00,41.40,44.00,MED to VTK,Medium,4.00,Faceted,None,None,EX,EX,FAINT,,,,,,,VERY GOOD,5.77,5.73,3.46,,,Needle,15/07/2024 12:00:00 AM,50.00,,True,None,1900.00000,75.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492907048,,INDIA,0.00000,False,,1.007,,A
JSA56-8D,EM,L,VVS2,GIA,7496863500,,0.44000,594.00000,-46.00000,INDIA,5.41x3.77x2.24,59.40,74.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,Very Good,Very Good,NONE,,,,,,,,5.41,3.77,2.24,,,Feather,09/07/2024 12:00:00 AM,0.00,,True,MIX,1100.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7496863500,,INDIA,0.00000,False,,1.435,,A
VISA274B,PSB,F,SI1,GIA,7508119887,,0.90000,2173.05000,-34.15000,INDIA,8.50x5.44x3.25,59.70,65.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,8.50,5.44,3.25,,,Feather,07/08/2024 12:00:00 AM,0.00,,True,None,3300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7508119887,,INDIA,0.00000,False,,1.563,,A
JSA56-13A,EM,L,VVS2,IGI,642437764,,1.50000,1554.00000,-58.00000,INDIA,8.01x5.56x3.64,65.50,66.00,34.30,12.00,41.40,50.00,MED,Medium,0.00,,LONG,,EX,EX,NONE,,,,,,,EX,8.01,5.56,3.64,,,,26/07/2024 12:00:00 AM,,,True,None,3700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=642437764,,INDIA,0.00000,False,,1.441,,A
ADI-11-67B,OV,D,VS2,GIA,6491758022,,0.50000,1320.00000,-45.00000,INDIA,6.74x4.45x2.58,58.10,60.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,GD,NONE,,,,,,,,6.74,4.45,2.58,,,Feather,01/07/2024 12:00:00 AM,0.00,,True,None,2400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6491758022,,INDIA,8015.08000,False,,1.515,,A
C-21-9B,PSB,J,VS2,GIA,2494327249,,0.40000,650.00000,-50.00000,INDIA,6.42x3.93x2.74,69.70,59.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,GD,Very Good,NONE,,,,,,,,6.42,3.93,2.74,,,Feather,17/05/2024 12:00:00 AM,0.00,,True,MIX,1300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2494327249,,INDIA,0.00000,False,,1.634,,A
C-21-3D,OVB,H,VS2,GIA,7491327227,,0.42000,912.00000,-43.00000,INDIA,6.35x4.10x2.62,63.90,61.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Faceted,None,None,GD,Very Good,NONE,,,,,,,,6.35,4.10,2.62,,,Feather,10/05/2024 12:00:00 AM,0.00,,True,None,1600.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7491327227,,INDIA,0.00000,False,,1.549,,A
JSA33-1A,RAD,J,SI1,GIA,2507661305,,3.02000,6660.00000,-40.00000,INDIA,9.98x7.06x4.77,67.60,65.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Polished,None,None,EX,EX,NONE,,,,,,,,9.98,7.06,4.77,,"Additional clouds, pinpoints and surface graining are not shown.","Cloud, Crystal, Needle",16/10/2024 12:00:00 AM,0.00,,True,None,11100.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2507661305,,INDIA,0.00000,False,,1.414,,M
VISA229B,PSB,E,VS2,GIA,2484591836,,0.81000,2023.04000,-36.78000,INDIA,8.50x5.33x2.87,53.90,60.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.50,5.33,2.87,,,"Feather, Crystal",16/02/2024 12:00:00 AM,0.00,,True,None,3200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2484591836,,INDIA,0.00000,False,,1.595,,A
VISA231B,PSB,D,VS2,GIA,6485591850,,0.72000,2010.08000,-40.88000,INDIA,8.06x5.07x2.89,57.00,60.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.06,5.07,2.89,,,Crystal,16/02/2024 12:00:00 AM,0.00,,True,None,3400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6485591850,,INDIA,0.00000,False,,1.590,,A
VISA225C,PSB,D,VVS1,GIA,6492022871,,0.50000,1661.10000,-44.63000,INDIA,7.33x4.37x2.44,55.80,62.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,7.33,4.37,2.44,,,"Cavity, Feather",10/04/2024 12:00:00 AM,0.00,,True,None,3000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492022871,,INDIA,0.00000,False,,1.677,,A
LL2-002B,RAD,F,VVS2,GIA,7483214167,,0.71000,1620.00000,-55.00000,INDIA,6.16x4.50x2.99,66.40,67.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Polished,None,None,EX,EX,Medium,Blue,,,,,,,6.16,4.50,2.99,,,"Needle, Pinpoint, Feather",22/12/2023 12:00:00 AM,0.00,,True,None,3600.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7483214167,,INDIA,0.00000,False,,1.369,,A
JSA04-8A,CMB,WX,VVS2,GIA,6495099777,,3.02000,2500.00000,-58.33333,INDIA,8.03x7.57x5.22,69.00,59.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.03,7.57,5.22,,,"Pinpoint, Feather, Indented Natural, Natural",03/05/2024 12:00:00 AM,0.00,,True,None,6000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6495099777,,INDIA,0.00000,False,,1.061,,A
HTJSA04-1-2,CMB,F Y,SI1,GIA,6492380161,,1.55000,3000.00000,0.00000,INDIA,7.17x5.79x3.92,67.70,56.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,Yellow,Fancy,,,,,7.17,5.79,3.92,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Needle",13/06/2024 12:00:00 AM,0.00,,True,None,0.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492380161,,INDIA,0.00000,False,,1.238,,A
VISA295-1K,PSB,D,SI2,GIA,2506870171,,2.01000,5562.00000,-46.00000,INDIA,10.96x6.89x4.34,63.00,62.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,10.96,6.89,4.34,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Needle",21/11/2024 12:00:00 AM,0.00,,True,None,10300.00000,0.00,,,,No,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2506870171,,INDIA,0.00000,False,,1.591,,A
VISA295-1L,PSB,E,VS2,GIA,5503861637,,0.51000,1288.00000,-44.00000,INDIA,7.21x4.39x2.70,61.60,59.00,0.00,0.00,0.00,0.00,Thin to Slightly Thick,Thin,0.00,Faceted,None,None,Very Good,Very Good,NONE,,,,,,,,7.21,4.39,2.70,,,"Crystal, Cloud",14/11/2024 12:00:00 AM,0.00,,True,None,2300.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5503861637,,INDIA,0.00000,False,,1.642,,M
H-2A,EM,J,IF,IGI,626406653,,8.02000,13000.00000,-48.00000,INDIA,13.25x9.47x6.32,66.70,65.00,,13.00,,49.00,Slightly Thick,,0.00,,LONG,,EX,EX,NONE,,,,,,,VERY GOOD,13.25,9.47,6.32,,,,03/04/2024 12:00:00 AM,,,True,None,25000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.igi.org/verify.php?r=626406653,,INDIA,0.00000,False,,1.399,,A
ADI-20-101G,RAD,D,VS2,GIA,6512002921,,0.51000,1200.00000,-50.00000,INDIA,5.17x4.08x2.82,69.20,66.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Polished,None,None,EX,Very Good,FAINT,,,,,,,,5.17,4.08,2.82,,,Crystal,17/12/2024 12:00:00 AM,0.00,,True,None,2400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6512002921,,INDIA,6930.66667,False,,1.267,,A
ADI-27-124,EM,F,VVS1,GIA,7518018088,,2.01000,9690.00000,-43.00000,INDIA,8.47x5.88x3.98,67.60,58.00,0.00,0.00,0.00,0.00,Thick,,0.00,Polished,None,None,EX,EX,NONE,,,,,,,,8.47,5.88,3.98,,,"Pinpoint, Feather, Natural",21/12/2024 12:00:00 AM,0.00,,True,None,17000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7518018088,,INDIA,3042.47761,False,,1.440,,A
ADI-27-126A,PSB,I,SI1,GIA,6512023811,,0.80000,1200.00000,-40.00000,INDIA,8.33x5.06x3.10,61.30,61.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.33,5.06,3.10,,,"Crystal, Cloud, Feather",20/12/2024 12:00:00 AM,0.00,,True,None,2000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6512023811,,INDIA,2775.50000,False,,1.646,,A
ADI-27-123B,MQ,D,VS1,GIA,6511106877,,0.70000,1850.00000,-50.00000,INDIA,9.81x4.52x2.75,60.70,62.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,,9.81,4.52,2.75,,,Feather,02/01/2025 12:00:00 AM,0.00,,True,None,3700.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6511106877,,INDIA,12398.84286,False,,2.170,,A
DIN-118-71,RD,D,I1,GIA,7511104612,,2.02000,4560.00000,-43.00000,INDIA,8.02-8.06x4.99,62.00,58.00,36.00,15.50,40.60,42.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,NONE,,,,,,,EX,8.06,8.02,4.99,,Clouds are not shown.,"Crystal, Feather, Cavity, Natural",02/01/2025 12:00:00 AM,50.00,,True,None,8000.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7511104612,,INDIA,0.00000,False,,1.005,,A
ADI-26-121A,RD,D,SI1,GIA,6515066110,,0.72000,1767.00000,-43.00000,INDIA,5.72-5.74x3.56,62.10,59.00,33.00,13.50,41.80,44.50,Slightly Thick,,4.50,Faceted,None,None,EX,EX,NONE,,,,,,,EX,5.74,5.72,3.56,,,"Crystal, Cloud, Feather",26/12/2024 12:00:00 AM,50.00,,True,None,3100.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6515066110,,INDIA,5000.61111,False,,1.003,,A
ADI-26-121,HTB,D,SI2,GIA,7512060683,,2.01000,5047.00000,-51.00000,INDIA,7.37x8.65x5.30,61.30,62.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,7.37,8.65,5.30,,Pinpoints are not shown.,"Knot, Feather, Crystal, Indented Natural, Needle",25/12/2024 12:00:00 AM,0.00,,True,None,10300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7512060683,,INDIA,4102.96517,False,,0.852,,A
DIN-117-67A,PSB,I,SI2,GIA,2517065681,,1.01000,1596.00000,-43.00000,INDIA,8.92x5.52x3.46,62.80,58.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,FAINT,,,,,,,,8.92,5.52,3.46,,,"Crystal, Feather",26/12/2024 12:00:00 AM,0.00,,True,None,2800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2517065681,,INDIA,0.00000,False,,1.616,,A
ADI-27-123A,MQ,D,VVS1,GIA,7516070579,,0.80000,2752.00000,-36.00000,INDIA,9.55x4.91x3.05,62.30,58.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,GD,FAINT,,,,,,,,9.55,4.91,3.05,,,Cavity,30/12/2024 12:00:00 AM,0.00,,True,None,4300.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7516070579,,INDIA,12235.68750,False,,1.945,,A
ADI-27-125,HTB,D,VS2,GIA,6515134722,,2.01000,8320.00000,-48.00000,INDIA,7.58x8.41x5.20,61.80,61.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,7.58,8.41,5.20,,Pinpoints are not shown.,"Crystal, Feather, Needle",06/01/2025 12:00:00 AM,0.00,,True,None,16000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6515134722,,INDIA,3741.38308,False,,0.901,,A
ADI-28-133,OVB,E,VS1,GIA,6515154766,,1.04000,3596.00000,-42.00000,INDIA,8.46x5.70x3.38,59.30,62.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,8.46,5.70,3.38,,Pinpoints are not shown.,"Crystal, Feather, Needle",08/01/2025 12:00:00 AM,0.00,,True,None,6200.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6515154766,,INDIA,1799.37500,False,,1.484,,A
