stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
DIN-98-1046A,PSB,UV,VS2,GIA,6482082194,,0.70000,1050.00000,-25.00000,INDIA,8.18x4.97x2.82,56.60,60.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,8.18,4.97,2.82,,Feather,Feather,04/12/2023 12:00:00 AM,0.00,,True,None,1400.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6482082194,,INDIA,0.00000,False,,1.646,,A
ADI-2-3D,OV,D,SI2,GIA,2486346350,,1.01000,1950.00000,-50.00000,INDIA,8.21x5.70x3.25,57.00,63.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,GD,NONE,,,,,,,,8.21,5.70,3.25,,Clouds are not shown.,"Crystal, Feather, Indented Natural, Cavity",12/01/2024 12:00:00 AM,0.00,,True,None,3900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2486346350,,INDIA,3463.89109,False,,1.440,,A
ADI-3-7A,PS,G,VS2,GIA,2484404415,,1.01000,2976.00000,-38.00000,INDIA,9.44x5.49x3.34,60.80,60.00,0.00,0.00,0.00,0.00,Slightly Thick to Thick,,0.00,Faceted,None,None,EX,EX,NONE,,,,,,,,9.44,5.49,3.34,,Pinpoints are not shown. Clouds are not shown.,"Crystal, Needle",23/01/2024 12:00:00 AM,0.00,,True,None,4800.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2484404415,,INDIA,3773.94059,False,,1.719,,A
ADI-3-6A,PSB,D,IF,GIA,1483404395,,0.71000,2688.00000,-42.80851,INDIA,7.90x4.83x3.09,64.00,63.00,0.00,0.00,0.00,0.00,Slightly Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,7.90,4.83,3.09,,"Natural, Minor Details Of Polish","Natural, Minor Details Of Polish",23/01/2024 12:00:00 AM,0.00,,True,None,4700.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1483404395,R2NET_SEGOMA,INDIA,17928.98592,False,,1.636,,M
ADI-4-8A,PS,E,VVS2,GIA,5486790521,,1.00000,3744.00000,-45.73913,INDIA,9.23x5.57x3.14,56.30,58.00,0.00,0.00,0.00,0.00,Very Thick,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,9.23,5.57,3.14,,Surface graining is not shown.,Feather,13/03/2024 12:00:00 AM,0.00,,True,None,6900.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5486790521,,INDIA,9496.40000,False,,1.657,,A
ADI-5-16,CMB,UV,SI2,GIA,2496175531,,3.00000,2900.00000,-36.95652,INDIA,10.22x6.90x4.72,68.40,62.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,Very Good,NONE,,,,,,,,10.22,6.90,4.72,,Additional clouds are not shown. Pinpoints are not shown.,"Crystal, Cloud, Feather, Needle, Indented Natural, Natural",22/05/2024 12:00:00 AM,0.00,,True,None,4600.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2496175531,,INDIA,766.37333,False,,1.481,,A
ADI-5-15,EM,E,VVS2,GIA,2486884704,,2.50000,11725.00000,-31.02941,INDIA,9.06x6.42x4.28,66.70,61.00,0.00,0.00,0.00,0.00,Thick,,0.00,Polished,None,None,EX,EX,NONE,,,,,,,,9.06,6.42,4.28,,,"Feather, Needle, Pinpoint",22/03/2024 12:00:00 AM,0.00,,True,None,17000.00000,0.00,,,,Yes,,,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2486884704,NIVODA LLP,INDIA,4748.28000,False,,1.411,,M
ADI-5-12A,EM,M,VS1,GIA,7498298819,,1.00000,1200.00000,-40.00000,INDIA,7.22x4.79x3.12,65.20,69.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,Very Good,NONE,,,,,,,,7.22,4.79,3.12,,,"Feather, Pinpoint",09/05/2024 12:00:00 AM,0.00,,True,None,2000.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7498298819,,INDIA,1296.04000,False,,1.507,,A
ADI-6-22A,RD,H,SI1,GIA,1485996869,,1.02000,2376.00000,-46.00000,INDIA,6.47-6.52x3.97,61.20,59.00,32.00,13.00,41.80,44.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,FAINT,,,,,,,EX,6.52,6.47,3.97,,,"Feather, Pinpoint",05/04/2024 12:00:00 AM,50.00,,True,None,4400.00000,80.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1485996869,,INDIA,3676.61765,False,,1.008,,A
ADI-6-21,EM,I,VS1,GIA,1489884647,,2.00000,4845.00000,-49.00000,INDIA,8.50x5.94x4.01,67.60,65.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,EX,FAINT,,,,,,,,8.50,5.94,4.01,,Clouds are not shown. Pinpoints are not shown.,"Crystal, Needle, Natural",26/03/2024 12:00:00 AM,0.00,,True,None,9500.00000,0.00,,,,Yes,,,,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1489884647,,INDIA,3875.19500,False,,1.431,,A
